,currency_code,currency_country_name,local_EUR,EUR_local
0,AFN,AFGHANISTAN,0.01644,61.0517
1,ALL,ALBANIA,0.007237,143.208
2,DZD,ALGERIA,0.009789,103.169
3,USD,AMERICAN SAMOA,0.9488,1.0541
4,EUR,ANDORRA,1.0,1.0
5,AOA,ANGOLA,0.008944,112.947
6,XCD,ANGUILLA,0.353,2.8638
7,XCD,ANTIGUA AND BARBUDA,0.353,2.8638
8,ARS,ARGENTINA,0.1081,9.2657
9,AMD,ARMENIA,0.0019809999999999997,505.005
10,AWG,ARUBA,0.5331,1.8973
11,AUD,AUSTRALIA,0.7253,1.3791
12,EUR,AUSTRIA,1.0,1.0
13,AZN,AZERBAIJAN,0.905,1.1062
14,BSD,BAHAMAS,0.958,1.058
15,BHD,BAHRAIN,2.5409,0.4011
16,BDT,BANGLADESH,0.01241,84.1862
17,BBD,BARBADOS,0.47442399999999996,2.10814
18,BYR,BELARUS,6.29e-05,16013.2
19,EUR,BELGIUM,1.0,1.0
20,BZD,BELIZE,0.4858,2.1592
21,XOF,BENIN,0.001524,655.957
22,BMD,BERMUDA,0.9488,1.0541
23,INR,BHUTAN,0.01511,66.2901
24,BOB,"BOLIVIA, PLURINATIONAL STATE OF",0.1408,7.5058
25,USD,"BONAIRE, SINT EUSTATIUS AND SABA",0.9488,1.0541
26,BAM,BOSNIA AND HERZEGOVINA,0.5114,1.9562
27,BWP,BOTSWANA,0.09489,10.8603
28,NOK,BOUVET ISLAND,0.1155,8.6683
29,BRL,BRAZIL,0.2932,3.4191
30,USD,BRITISH INDIAN OCEAN TERRITORY,0.9488,1.0541
31,BND,BRUNEI DARUSSALAM,0.6924,1.4946
32,BGN,BULGARIA,0.5117,1.9551
33,XOF,BURKINA FASO,0.001524,655.957
34,BIF,BURUNDI,0.0006146,1684.06
35,KHR,CAMBODIA,0.00023879999999999998,4343.82
36,XAF,CAMEROON,0.001524,655.957
37,CAD,CANADA,0.7423,1.3477
38,CVE,CABO VERDE,0.009068999999999999,110.265
39,KYD,CAYMAN ISLANDS,1.1553,0.9058
40,XAF,CENTRAL AFRICAN REPUBLIC,0.001524,655.957
41,XAF,CHAD,0.001524,655.957
42,CLP,CHILE,0.001484,674.679
43,CNY,CHINA,0.1545,6.4987
44,AUD,CHRISTMAS ISLAND,0.7253,1.3791
45,AUD,COCOS (KEELING) ISLANDS,0.7253,1.3791
46,COP,COLOMBIA,0.0003621,2839.72
47,KMF,COMOROS,0.0020329999999999997,491.968
48,XAF,CONGO,0.001524,655.957
49,NZD,COOK ISLANDS,0.6989,1.4315
50,CRC,COSTA RICA,0.0017989999999999998,583.9
51,HRK,CROATIA,0.131,7.6413
52,CUP,CUBA,0.0427,24.3997
53,ANG,CURAÇAO,0.5331,1.9184
54,EUR,CYPRUS,1.0,1.0
55,CZK,CZECH REPUBLIC,0.03667,27.311
56,XOF,CÔTE D'IVOIRE,0.001524,655.957
57,DKK,DENMARK,0.134,7.4614
58,DJF,DJIBOUTI,0.005339,187.329
59,XCD,DOMINICA,0.353,2.8638
60,DOP,DOMINICAN REPUBLIC,0.02141,47.8846
61,USD,ECUADOR,0.9488,1.0541
62,EGP,EGYPT,0.1249,8.0604
63,USD,EL SALVADOR,0.9488,1.0541
64,XAF,EQUATORIAL GUINEA,0.001524,655.957
65,ERN,ERITREA,,
66,EUR,ESTONIA,1.0,1.0
67,ETB,ETHIOPIA,0.04695,21.8025
68,FKP,FALKLAND ISLANDS (MALVINAS),1.4029,0.7131
69,DKK,FAROE ISLANDS,0.134,7.4614
70,FJD,FIJI,0.4613,2.1908
71,EUR,FINLAND,1.0,1.0
72,EUR,FRANCE,1.0,1.0
73,EUR,FRENCH GUIANA,1.0,1.0
74,XPF,FRENCH POLYNESIA,0.00838,119.33200000000001
75,EUR,FRENCH SOUTHERN TERRITORIES,1.0,1.0
76,XAF,GABON,0.001524,655.957
77,GMD,GAMBIA,0.022269999999999998,45.9603
78,GEL,GEORGIA,0.4356,2.296
79,EUR,GERMANY,1.0,1.0
80,GHS,GHANA,0.2618,3.8628
81,GIP,GIBRALTAR,1.4029,0.7131
82,EUR,GREECE,1.0,1.0
83,DKK,GREENLAND,0.134,7.4614
84,XCD,GRENADA,0.353,2.8638
85,EUR,GUADELOUPE,1.0,1.0
86,USD,GUAM,0.9488,1.0541
87,GTQ,GUATEMALA,0.1273,8.2545
88,GBP,GUERNSEY,1.4029,0.713
89,GNF,GUINEA,0.000134,7748.67
