a_code,a_name,a_city,country_key,a_iata,a_icao,lat,long,currency_code,TO_EUR,FROM_EUR
2048,Herat,Herat,afghanistan,HEA,OAHR,34.210017,62.2283,AFN,0.01644,61.0517
2049,Jalalabad,Jalalabad,afghanistan,JAA,OAJL,34.399842,70.498625,AFN,0.01644,61.0517
2050,Kabul Intl,Kabul,afghanistan,KBL,OAKB,34.565853000000004,69.212328,AFN,0.01644,61.0517
2051,Kandahar,Kandahar,afghanistan,KDH,OAKN,31.505755999999998,65.847822,AFN,0.01644,61.0517
2052,Maimana,Maimama,afghanistan,MMZ,OAMN,35.930789000000004,64.760917,AFN,0.01644,61.0517
2053,Mazar I Sharif,Mazar-i-sharif,afghanistan,MZR,OAMS,36.706914000000005,67.209678,AFN,0.01644,61.0517
2056,Konduz,Kunduz,afghanistan,UND,OAUZ,36.665110999999996,68.910833,AFN,0.01644,61.0517
5922,Faizabad Airport,Faizabad,afghanistan,FBD,OAFZ,37.1211,70.5181,AFN,0.01644,61.0517
7036,Bagram AFB,Kabul,afghanistan,BPM,OAIX,34.5646,69.1554,AFN,0.01644,61.0517
7499,Tarin Kowt Airport,Tarin Kowt,afghanistan,TII,OATN,32.605278000000006,65.86416700000001,AFN,0.01644,61.0517
7500,Zaranj Airport,Zaranj,afghanistan,ZAJ,OAZJ,30.969167,61.866944,AFN,0.01644,61.0517
7501,Chaghcharan Airport,Chaghcharan,afghanistan,CCN,OACC,34.526666999999996,65.27166700000001,AFN,0.01644,61.0517
8127,FOB Salerno,Khost,afghanistan,KHT,OAKS,33.3334,69.952,AFN,0.01644,61.0517
8146,Sharona,Sharona,afghanistan,AZ3,OASA,33.1277215,68.8369847,AFN,0.01644,61.0517
8773,Bost Airport,Lashkar Gah,afghanistan,BST,OABT,31.558889,64.36416700000001,AFN,0.01644,61.0517
8825,Bamyan Airport,Bamyan,afghanistan,BIN,OABN,34.816666999999995,67.81666700000001,AFN,0.01644,61.0517
1190,Tirana Rinas,Tirana,albania,TIA,LATI,41.414742,19.720561,ALL,0.007237,143.208
209,Soummam,Bejaja,algeria,BJA,DAAE,36.711997,5.069922,DZD,0.009789,103.169
210,Houari Boumediene,Algier,algeria,ALG,DAAG,36.691014,3.215408,DZD,0.009789,103.169
211,Tiska,Djanet,algeria,DJG,DAAJ,24.292767,9.452444,DZD,0.009789,103.169
212,Boufarik,Boufarik,algeria,QFD,DAAK,36.545834,2.876111,DZD,0.009789,103.169
214,Illizi Takhamalt,Illizi,algeria,VVZ,DAAP,26.723536,8.622653,DZD,0.009789,103.169
216,Tamanrasset,Tamanrasset,algeria,TMR,DAAT,22.811460999999998,5.451075,DZD,0.009789,103.169
217,Jijel,Jijel,algeria,GJL,DAAV,36.795136,5.873608,DZD,0.009789,103.169
220,Annaba,Annaba,algeria,AAE,DABB,36.822225,7.8091669999999995,DZD,0.009789,103.169
221,Mohamed Boudiaf Intl,Constantine,algeria,CZL,DABC,36.276028000000004,6.620386,DZD,0.009789,103.169
222,Cheikh Larbi Tebessi,Tebessa,algeria,TEE,DABS,35.431611,8.120716999999999,DZD,0.009789,103.169
224,Hassi R Mel,Tilrempt,algeria,HRM,DAFH,32.930431,3.3115419999999998,DZD,0.009789,103.169
225,Bou Chekif,Tiaret,algeria,TID,DAOB,35.341136,1.463147,DZD,0.009789,103.169
227,Tindouf,Tindouf,algeria,TIN,DAOF,27.700371999999998,-8.167103,DZD,0.009789,103.169
228,Ech Cheliff,Ech-cheliff,algeria,QAS,DAOI,36.212658000000005,1.331775,DZD,0.009789,103.169
229,Tafaraoui,Oran,algeria,TAF,DAOL,35.542444,-0.532278,DZD,0.009789,103.169
230,Zenata,Tlemcen,algeria,TLM,DAON,35.016667,-1.45,DZD,0.009789,103.169
231,Es Senia,Oran,algeria,ORN,DAOO,35.623858,-0.621183,DZD,0.009789,103.169
233,Ghriss,Ghriss,algeria,MUW,DAOV,35.207725,0.147142,DZD,0.009789,103.169
234,Touat Cheikh Sidi Mohamed Belkebir,Adrar,algeria,AZR,DAUA,27.837589,-0.186414,DZD,0.009789,103.169
235,Biskra,Biskra,algeria,BSK,DAUB,34.793289,5.738231,DZD,0.009789,103.169
236,El Golea,El Golea,algeria,ELG,DAUE,30.571294,2.859586,DZD,0.009789,103.169
237,Noumerat,Ghardaia,algeria,GHA,DAUG,32.384106,3.794114,DZD,0.009789,103.169
238,Oued Irara,Hassi Messaoud,algeria,HME,DAUH,31.672971999999998,6.1404440000000005,DZD,0.009789,103.169
239,In Salah,In Salah,algeria,INZ,DAUI,27.251022,2.5120169999999997,DZD,0.009789,103.169
240,Sidi Mahdi,Touggourt,algeria,TGR,DAUK,33.067803000000005,6.088672,DZD,0.009789,103.169
241,Laghouat,Laghouat,algeria,LOO,DAUL,33.764383,2.928344,DZD,0.009789,103.169
242,Timimoun,Timimoun,algeria,TMX,DAUT,29.237119,0.276033,DZD,0.009789,103.169
243,Ouargla,Ouargla,algeria,OGX,DAUU,31.917223,5.412778,DZD,0.009789,103.169
244,In Amenas,Zarzaitine,algeria,IAM,DAUZ,28.05155,9.642911,DZD,0.009789,103.169
5555,Guemar Airport,Guemar,algeria,ELU,DAUO,33.5114,6.776789999999999,DZD,0.009789,103.169
5554,Bordj Badji Mokhtar Airport,Bordj Badji Mokhtar,algeria,BMW,DATM,21.375,0.923889,DZD,0.009789,103.169
5553,Béchar Boudghene Ben Ali Lotfi Airport,Béchar,algeria,CBH,DAOR,31.6457,-2.26986,DZD,0.009789,103.169
5552,Batna Airport,Batna,algeria,BLJ,DABT,35.752106,6.308589,DZD,0.009789,103.169
6492,Ain Arnat Airport,Setif,algeria,QSF,DAAS,36.1781,5.32449,DZD,0.009789,103.169
7408,Tsletsi Airport,Djelfa,algeria,QDJ,DAFI,34.6657,3.3510000000000004,DZD,0.009789,103.169
1970,Pago Pago Intl,Pago Pago,american samoa,PPG,NSTU,-14.331,-170.7105,USD,0.9488,1.0541
7627,Fitiuta Airport,Fiti\\'uta,american samoa,FTI,NSFQ,-14.216110999999998,-169.42361100000002,USD,0.9488,1.0541
7628,Ofu Airport,Ofu,american samoa,OFU,\N,-14.184444000000001,-169.67,USD,0.9488,1.0541
944,Mbanza Congo,M'banza-congo,angola,SSY,FNBC,-6.269897,14.247025,AOA,0.008944,112.947
945,Benguela,Benguela,angola,BUG,FNBG,-12.609025,13.403711,AOA,0.008944,112.947
946,Cabinda,Cabinda,angola,CAB,FNCA,-5.596992,12.188353,AOA,0.008944,112.947
948,Huambo,Huambo,angola,NOV,FNHU,-12.808878,15.760547,AOA,0.008944,112.947
949,Kuito,Kuito,angola,SVP,FNKU,-12.404633,16.947414000000002,AOA,0.008944,112.947
951,Luanda 4 De Fevereiro,Luanda,angola,LAD,FNLU,-8.858375,13.231178,AOA,0.008944,112.947
952,Malanje,Malanje,angola,MEG,FNMA,-9.525086,16.312406,AOA,0.008944,112.947
953,Menongue,Menongue,angola,SPP,FNME,-14.657582999999999,17.719832999999998,AOA,0.008944,112.947
955,Negage,Negage,angola,GXG,FNNG,-7.754506,15.287728,AOA,0.008944,112.947
956,Porto Amboim,Porto Amboim,angola,PBN,FNPA,-10.721956,13.765528,AOA,0.008944,112.947
957,Saurimo,Saurimo,angola,VHC,FNSA,-9.689067,20.431875,AOA,0.008944,112.947
958,Soyo,Soyo,angola,SZA,FNSO,-6.1410860000000005,12.371764,AOA,0.008944,112.947
959,Lubango,Lubango,angola,SDD,FNUB,-14.924732999999998,13.575022,AOA,0.008944,112.947
960,Luena,Luena,angola,LUO,FNUE,-11.768086,19.897672,AOA,0.008944,112.947
961,Uige,Uige,angola,UGO,FNUG,-7.603067,15.027822,AOA,0.008944,112.947
962,Xangongo,Xangongo,angola,XGN,FNXA,-16.755417,14.965344,AOA,0.008944,112.947
5633,Namibe Airport,Mocamedes,angola,MSZ,FNMO,-15.261222,12.146756,AOA,0.008944,112.947
5632,Ondjiva Pereira Airport,Ondjiva,angola,VPE,FNGI,-17.043464,15.683822,AOA,0.008944,112.947
5631,Dundo Airport,Dundo,angola,DUE,FNDU,-7.4008899999999995,20.8185,AOA,0.008944,112.947
5630,Catumbela Airport,Catumbela,angola,CBT,FNCT,-12.4792,13.4869,AOA,0.008944,112.947
7411,Lucapa Airport,Lucapa,angola,LBZ,FNLK,-8.443056,20.732222,AOA,0.008944,112.947
7412,Kapanda Airport,Kapanda,angola,KNP,FNCP,-9.771944,15.456110999999998,AOA,0.008944,112.947
2900,Wallblake,The Valley,anguilla,AXA,TQPF,18.204833999999998,-63.055083999999994,XCD,0.353,2.8638
2874,V C Bird Intl,Antigua,antigua and barbuda,ANU,TAPA,17.136749,-61.792667,XCD,0.353,2.8638
6074,Codrington Airport,Codrington,antigua and barbuda,BBQ,TAPH,17.6358,-61.8286,XCD,0.353,2.8638
6869,Aeropuerto de Rafaela,Rafaela,argentina,RAF,\N,-31.282071999999996,-61.501594,ARS,0.1081,9.2657
2436,Comodoro Pierrestegui,Concordia,argentina,COC,SAAC,-31.296944,-57.99663100000001,ARS,0.1081,9.2657
2437,Gualeguaychu,Gualeguaychu,argentina,GHU,SAAG,-33.010278,-58.61305600000001,ARS,0.1081,9.2657
2439,General Urquiza,Parana,argentina,PRA,SAAP,-31.794778000000004,-60.480361,ARS,0.1081,9.2657
2440,Rosario,Rosario,argentina,ROS,SAAR,-32.903611,-60.785,ARS,0.1081,9.2657
2441,Sauce Viejo,Santa Fe,argentina,SFN,SAAV,-31.711665999999997,-60.811668000000004,ARS,0.1081,9.2657
2442,Aeroparque Jorge Newbery,Buenos Aires,argentina,AEP,SABE,-34.559175,-58.415606000000004,ARS,0.1081,9.2657
2443,Ambrosio L V Taravella,Cordoba,argentina,COR,SACO,-31.323619,-64.207953,ARS,0.1081,9.2657
2447,La Plata,La Plata,argentina,LPG,SADL,-34.972221999999995,-57.894693999999994,ARS,0.1081,9.2657
2452,El Plumerillo,Mendoza,argentina,MDZ,SAME,-32.831717,-68.792856,ARS,0.1081,9.2657
2453,Malargue,Malargue,argentina,LGS,SAMM,-35.493596999999994,-69.574267,ARS,0.1081,9.2657
2454,San Rafael,San Rafael,argentina,AFA,SAMR,-34.588314000000004,-68.40385400000001,ARS,0.1081,9.2657
2455,Catamarca,Catamarca,argentina,CTC,SANC,-28.593214,-65.750925,ARS,0.1081,9.2657
2456,Santiago Del Estero,Santiago Del Estero,argentina,SDE,SANE,-27.765617,-64.31012199999999,ARS,0.1081,9.2657
2458,La Rioja,La Rioja,argentina,IRJ,SANL,-29.381636,-66.795839,ARS,0.1081,9.2657
2460,Teniente Benjamin Matienzo,Tucuman,argentina,TUC,SANT,-26.840861,-65.10494399999999,ARS,0.1081,9.2657
2461,San Juan,San Julian,argentina,UAQ,SANU,-31.571471999999996,-68.418194,ARS,0.1081,9.2657
2462,Rio Cuarto Area De Material,Rio Cuarto,argentina,RCU,SAOC,-33.085128000000005,-64.261314,ARS,0.1081,9.2657
2463,Villa Dolores,Villa Dolores,argentina,VDR,SAOD,-31.945183,-65.146283,ARS,0.1081,9.2657
2467,San Luis,San Luis,argentina,LUQ,SAOU,-33.273192,-66.356422,ARS,0.1081,9.2657
2468,Corrientes,Corrientes,argentina,CNQ,SARC,-27.445503000000002,-58.761864,ARS,0.1081,9.2657
2469,Resistencia,Resistencia,argentina,RES,SARE,-27.449986,-59.056125,ARS,0.1081,9.2657
2470,Formosa,Formosa,argentina,FMA,SARF,-26.212722,-58.228111,ARS,0.1081,9.2657
2471,Cataratas Del Iguazu,Iguazu Falls,argentina,IGR,SARI,-25.737281,-54.47344399999999,ARS,0.1081,9.2657
2472,Paso De Los Libres,Paso De Los Libres,argentina,AOL,SARL,-29.689425,-57.152078,ARS,0.1081,9.2657
2474,Posadas,Posadas,argentina,PSS,SARP,-27.385839,-55.970728,ARS,0.1081,9.2657
2476,Salta,Salta,argentina,SLA,SASA,-24.855978,-65.48616899999999,ARS,0.1081,9.2657
2477,Jujuy,Jujuy,argentina,JUJ,SASJ,-24.392778,-65.097778,ARS,0.1081,9.2657
2478,Oran,Oran,argentina,ORA,SASO,-23.152779000000002,-64.32916999999999,ARS,0.1081,9.2657
2486,El Bolson,El Bolson,argentina,EHL,SAVB,-41.943189000000004,-71.532289,ARS,0.1081,9.2657
2487,Comodoro Rivadavia,Comodoro Rivadavia,argentina,CRD,SAVC,-45.785346999999994,-67.465508,ARS,0.1081,9.2657
2488,Esquel,Esquel,argentina,EQS,SAVE,-42.90795,-71.139472,ARS,0.1081,9.2657
2490,Almirante Zar,Trelew,argentina,REL,SAVT,-43.2105,-65.270319,ARS,0.1081,9.2657
2491,Gobernador Castello,Viedma,argentina,VDM,SAVV,-40.869222,-63.000389,ARS,0.1081,9.2657
2492,El Tehuelche,Puerto Madryn,argentina,PMY,SAVY,-42.759161,-65.102725,ARS,0.1081,9.2657
2494,Puerto Deseado,Puerto Deseado,argentina,PUD,SAWD,-47.735292,-65.904097,ARS,0.1081,9.2657
2495,Rio Grande,Rio Grande,argentina,RGA,SAWE,-53.777667,-67.74938900000001,ARS,0.1081,9.2657
2496,Rio Gallegos,Rio Gallegos,argentina,RGL,SAWG,-51.608875,-69.312636,ARS,0.1081,9.2657
2497,Ushuaia Malvinas Argentinas,Ushuaia,argentina,USH,SAWH,-54.843278000000005,-68.29575,ARS,0.1081,9.2657
2498,San Julian,San Julian,argentina,ULA,SAWJ,-49.306775,-67.802589,ARS,0.1081,9.2657
2499,Perito Moreno,Perito Moreno,argentina,PMQ,SAWP,-46.537911,-70.978689,ARS,0.1081,9.2657
2500,Santa Cruz,Santa Cruz,argentina,RZA,SAWU,-50.01655,-68.579197,ARS,0.1081,9.2657
2501,Comandante Espora,Bahia Blanca,argentina,BHI,SAZB,-38.724967,-62.16931700000001,ARS,0.1081,9.2657
2508,Mar Del Plata,Mar Del Plata,argentina,MDQ,SAZM,-37.934166999999995,-57.573333,ARS,0.1081,9.2657
2509,Presidente Peron,Neuquen,argentina,NQN,SAZN,-38.949,-68.155711,ARS,0.1081,9.2657
2512,Santa Rosa,Santa Rosa,argentina,RSA,SAZR,-36.588322,-64.275694,ARS,0.1081,9.2657
2513,San Carlos De Bariloche,San Carlos De Bariloche,argentina,BRC,SAZS,-41.151171999999995,-71.157542,ARS,0.1081,9.2657
2514,Tandil,Tandil,argentina,TDL,SAZT,-37.237392,-59.227922,ARS,0.1081,9.2657
2515,Villa Gesell,Villa Gesell,argentina,VLG,SAZV,-37.235408,-57.029239000000004,ARS,0.1081,9.2657
2517,Aviador C Campos,San Martin Des Andes,argentina,CPC,SAZY,-40.075383,-71.137294,ARS,0.1081,9.2657
